slug,age,height,position
pedro-pereira-1998-06-22,26,,Midfielder
pablo-sarabia-garcia,33,174.0,Midfielder
ndemeni-bastien-meupiyou-menadjou,19,191.0,Defender
nathan-john-mark-fraser,20,188.0,Forward
wesley-okoduwa,17,176.0,Defender
rodrigo-martins-gomes,21,175.0,Forward
yerson-mosquera-valdelamar,24,187.0,Defender
hee-chan-hwang,29,177.0,Forward
alfie-james-pond,21,191.0,Defender
nelson-cabral-semedo,31,177.0,Defender
enso-david-gonzalez-medina,20,169.0,Forward
jorgen-strand-larsen,25,193.0,Forward
joao-victor-gomes-da-silva,24,176.0,Midfielder
daniel-bentley,31,188.0,Goalkeeper
joseph-hodge,22,172.0,Midfielder
craig-dawson,35,188.0,Defender
leon-chiwome,19,186.0,Forward
emmanuel-agbadou,27,192.0,Defender
tom-edozie,19,178.0,Forward
thomas-king,30,194.0,Goalkeeper
rayan-ait-nouri,24,180.0,Defender
nasser-yacouba-djiga,22,187.0,Defender
santiago-ignacio-bueno-sciutto,26,190.0,Defender
marshall-nyasha-munetsi,28,188.0,Midfielder
matt-doherty,33,185.0,Defender
pedro-henrique-cardoso-de-lima,18,174.0,Defender
sasa-kalajdzic,27,200.0,Forward
tote-antonio-gomes,26,187.0,Defender
luke-rawlings,17,178.0,Midfielder
alexis-mac-allister,26,176.0,Midfielder
tyler-morton,22,182.0,Midfielder
rio-ngumoha,16,170.0,Forward
virgil-van-dijk,33,195.0,Defender
ibrahima-konate,26,194.0,Defender
joe-gomez,28,188.0,Defender
isaac-mabaya,20,186.0,Defender
kieran-yusuf-morrison,18,170.0,Midfielder
treymaurice-nyoni,17,180.0,Midfielder
ranel-jerva-young,19,175.0,Forward
cody-mathes-gakpo,26,193.0,Forward
wataru-endo,32,178.0,Midfielder
jarell-quansah-2003-01-29,22,190.0,Defender
mohamed-salah-ghaly,32,175.0,Forward
curtis-jones-2001-01-30,24,185.0,Midfielder
trent-toure-kone-doherty,18,175.0,Forward
luca-stephenson,21,,Midfielder
konstantinos-tsimikas,29,179.0,Defender
james-mcconnell,20,175.0,Midfielder
jeremie-frimpong,24,171.0,Defender
andrew-robertson,31,178.0,Defender
alisson-ramses-becker,32,193.0,Goalkeeper
federico-chiesa,27,175.0,Midfielder
harvey-elliot,22,170.0,Midfielder
amara-nallo,18,186.0,Defender
harvey-davies,21,190.0,Goalkeeper
diogo-jose-teixeira-da-silva,28,178.0,Forward
darwin-gabriel-nunez-ribeiro,25,187.0,Forward
luis-fernando-diaz-marulanda,28,178.0,Forward
ryan-gravenberch,23,190.0,Midfielder
armin-pecsi,20,,Goalkeeper
conor-bradley-2003-07-09,21,180.0,Defender
vitezslav-jaros,23,190.0,Goalkeeper
dominik-szoboszlai,24,186.0,Midfielder
jack-stephens,31,185.0,Defender
charlie-taylor,31,176.0,Defender
ebere-paul-onuachu,31,201.0,Forward
nathan-wood-gordon,23,188.0,Defender
jayden-moore,18,183.0,Defender
ryan-manning,28,173.0,Defender
joachim-kayi-sanda,18,186.0,Defender
william-smallbone,25,183.0,Midfielder
flynn-downes,26,173.0,Midfielder
tyler-dibling,19,178.0,Midfielder
jay-robinson,18,176.0,Forward
ryan-fraser,31,163.0,Midfielder
armel-bella-kotchap,23,190.0,Defender
gavin-bazunu,23,189.0,Goalkeeper
taylor-harwood-bellis,23,188.0,Defender
james-bree,27,178.0,Defender
jan-bednarek,29,189.0,Defender
romeo-akachukwu,18,178.0,Midfielder
juan-larios-lopez,21,170.0,Defender
alex-mccarthy,35,193.0,Goalkeeper
aaron-ramsdale,27,190.0,Goalkeeper
mateus-goncalo-espanha-fernandes,20,178.0,Midfielder
rento-takaoka,18,165.0,Forward
yukinari-sugawara,24,179.0,Defender
